# params = (ρ = 0, noise_level = 0.1, verbose_iter = 10, maxiter = 1000, save_results = true, image_name = "lighthouse", save_iterations = false, α = 0.1, τ₀ = 5, σ₀ = 0.198, accel = true, save_prefix = "result_denoise_lighthouse")
iter	time	function_value
1	0.0894753579996177	11019.054144446854
2	0.1409191480051959	6999.469172841883
3	0.1591946190019371	5285.567984665726
4	0.17762600800051587	4210.44577824195
5	0.1983179380040383	3611.5290276910555
6	0.21921954800200183	3317.747768657422
7	0.24169829100719653	3180.2584471055693
8	0.26072677700722124	3101.3317004324404
9	0.28003672000340885	3039.4353073744533
10	0.29911728000297444	2986.628504434402
11	0.31968194500223035	2943.7784588287877
12	0.3410602119984105	2910.664605226376
13	0.36223436900036177	2885.4900617704484
14	0.38197386899992125	2866.1825596944345
15	0.40257985799689777	2851.028152113308
16	0.42302525299601257	2838.7591403169963
17	0.44248611799412174	2828.6265373148954
18	0.4621022479914245	2820.16168271917
19	0.48177949599630665	2813.051027038615
20	0.5016876649970072	2807.055073926901
30	0.758974832999229	2777.465908348201
40	1.007392471001367	2768.2622758892458
50	1.248940040000889	2764.417355020015
60	1.4917294300030335	2762.4893499667337
70	1.7379827480035601	2761.450587301465
80	1.9842162120039575	2760.814178503591
90	2.2286868810042506	2760.3959988277466
100	2.484670306002954	2760.1123858185542
110	2.7346651050029323	2759.9129734190496
120	2.978940680004598	2759.7660845841965
130	3.2282558000006247	2759.6603074568648
140	3.4711471810005605	2759.5783442595625
150	3.710286729998188	2759.512235369303
160	3.9572490810023737	2759.459813178776
170	4.204259748003096	2759.416879661816
180	4.445754319000116	2759.3824897301265
190	4.6869698080045055	2759.3544634963814
200	4.9363401360024	2759.3314766687135
210	5.184897423998336	2759.3114831237244
220	5.437456790998112	2759.2942132854723
230	5.688032059995749	2759.2794332768617
240	5.930681559992081	2759.2668215750314
250	6.1751395229948685	2759.255762390317
260	6.414858252996055	2759.246704488939
270	6.655653972993605	2759.238478037282
280	6.897638038994046	2759.2305904810405
290	7.137794477996067	2759.2235068569416
300	7.378025201993296	2759.217628879953
310	7.622639243993035	2759.2125049820706
320	7.8664126269941335	2759.2076797145583
330	8.109886573991389	2759.2031936254584
340	8.353307815988956	2759.1992084737144
350	8.59688946598908	2759.195654761007
360	8.844517456993344	2759.192451241928
370	9.119808027986437	2759.1895602052045
380	9.366977566984133	2759.1869608354764
390	9.613552997987426	2759.1844892225017
400	9.860206332989037	2759.182147353368
410	10.104610351991141	2759.17999449981
420	10.35727893699368	2759.178070176673
430	10.603346791998774	2759.176246269901
440	10.848435020998295	2759.174517620047
450	11.095270275000075	2759.172878965565
460	11.347288425997249	2759.1714304548227
470	11.5911728400024	2759.1701142679576
480	11.83269114200084	2759.1688386554956
490	12.077432275997126	2759.1676508154974
500	12.330963152999175	2759.16653759815
510	12.578924488996563	2759.1655109020057
520	12.821699647996866	2759.164571255289
530	13.060564342995349	2759.163648092188
540	13.306219015990791	2759.162762200697
550	13.547224489993823	2759.161918783038
560	13.795118076996005	2759.1611148662732
570	14.03566449299251	2759.160383788958
580	14.280145322998578	2759.1597176437535
590	14.528072017994418	2759.159061833527
600	14.774664966993441	2759.1584212987354
610	15.022015157992428	2759.15780581488
620	15.280003602987563	2759.157231147776
630	15.518639774993062	2759.156713285979
640	15.762299025991524	2759.156230363051
650	16.002578134990472	2759.155756728489
660	16.31682295698556	2759.1552880263944
670	16.61612547198456	2759.15483924481
680	16.902260924987786	2759.1544242187174
690	17.145480265986407	2759.1540390517507
700	17.39525432598748	2759.153659615844
710	17.63659668298351	2759.153282522424
720	17.887362296984065	2759.1529171714465
730	18.136494316982862	2759.152581563636
740	18.376016612979583	2759.152265848938
750	18.617732129976503	2759.151962704109
760	18.86309642697597	2759.151670589453
770	19.11233074097254	2759.151388382895
780	19.34887982597138	2759.1511141105752
790	19.59290558497014	2759.150850746035
800	19.833272956973815	2759.150599927237
810	20.078180251977756	2759.150358248774
820	20.320812831974763	2759.1501159608824
830	20.564668623977923	2759.1498765907877
840	20.811489355983213	2759.1496572802253
850	21.05147146798845	2759.149459244828
860	21.292518270987784	2759.149272118629
870	21.53650335198472	2759.149085105735
880	21.782178175984882	2759.148899110896
890	22.03041410298465	2759.1487226607655
900	22.27427813898248	2759.1485530309105
910	22.521666979977454	2759.148382495554
920	22.779096536978614	2759.1482183662342
930	23.029518815979827	2759.1480601590047
940	23.27373750298284	2759.14790449159
950	23.523429382978065	2759.1477526436397
960	23.802453814983892	2759.147599839119
970	24.040359035985603	2759.14745694428
980	24.28341293298581	2759.1473238722874
990	24.530490417986584	2759.1471980391
1000	24.77432533398678	2759.1470792823875
